0
"(2, 7)"
"(2, 9)"
"(11, 0)"
"(11, 7)"
"(11, 9)"
"(11, 19)"
"(11, 20)"
"(12, 0)"
"(12, 1)"
"(12, 2)"
"(12, 3)"
"(12, 4)"
"(12, 5)"
"(12, 6)"
"(12, 7)"
"(12, 9)"
"(12, 19)"
"(12, 20)"
"(13, 7)"
"(13, 9)"
"(13, 19)"
"(13, 20)"
"(13, 21)"
"(14, 0)"
"(14, 6)"
"(14, 7)"
"(14, 8)"
"(14, 9)"
"(14, 10)"
"(14, 11)"
"(14, 12)"
"(14, 13)"
"(14, 14)"
"(14, 15)"
"(14, 16)"
"(14, 17)"
"(14, 18)"
"(14, 19)"
"(14, 20)"
"(15, 0)"
"(15, 1)"
"(15, 2)"
"(15, 3)"
"(15, 4)"
"(15, 5)"
"(15, 6)"
"(15, 7)"
"(15, 8)"
"(15, 9)"
"(15, 10)"
"(15, 11)"
"(15, 12)"
"(15, 13)"
"(15, 14)"
"(15, 15)"
"(15, 16)"
"(15, 17)"
"(15, 18)"
"(16, 0)"
"(16, 1)"
"(16, 2)"
"(16, 3)"
"(16, 4)"
"(16, 5)"
"(16, 6)"
"(16, 7)"
"(16, 8)"
"(16, 9)"
"(16, 10)"
"(16, 11)"
"(16, 12)"
"(16, 13)"
"(16, 14)"
"(16, 15)"
"(16, 16)"
"(16, 17)"
"(16, 18)"
"(16, 19)"
"(16, 20)"
"(17, 0)"
"(17, 1)"
"(17, 2)"
"(17, 3)"
"(17, 4)"
"(17, 5)"
"(17, 6)"
"(17, 7)"
"(17, 8)"
"(17, 9)"
"(17, 10)"
"(17, 11)"
"(17, 12)"
"(17, 13)"
"(17, 14)"
"(17, 15)"
"(17, 16)"
"(17, 17)"
"(17, 18)"
"(17, 19)"
"(17, 20)"
"(18, 0)"
"(18, 1)"
"(18, 2)"
"(18, 3)"
"(18, 4)"
"(18, 5)"
"(18, 6)"
"(18, 7)"
"(18, 8)"
"(18, 9)"
"(18, 10)"
"(18, 11)"
"(18, 12)"
"(18, 13)"
"(18, 14)"
"(18, 15)"
"(18, 16)"
"(18, 17)"
"(18, 18)"
"(18, 19)"
"(18, 20)"
"(19, 0)"
"(19, 1)"
"(19, 2)"
"(19, 3)"
"(19, 4)"
"(19, 5)"
"(19, 6)"
"(19, 7)"
"(19, 8)"
"(19, 9)"
"(19, 10)"
"(19, 11)"
"(19, 12)"
"(19, 13)"
"(19, 14)"
"(19, 15)"
"(19, 16)"
"(19, 17)"
"(19, 18)"
"(19, 19)"
"(19, 20)"
"(19, 22)"
"(19, 23)"
"(19, 24)"
"(19, 25)"
"(20, 9)"
"(20, 19)"
"(20, 20)"
"(20, 21)"
"(21, 0)"
"(21, 1)"
"(21, 2)"
"(21, 3)"
"(21, 4)"
"(21, 5)"
"(21, 6)"
"(21, 7)"
"(21, 8)"
"(21, 9)"
"(21, 10)"
"(21, 11)"
"(21, 12)"
"(21, 13)"
"(21, 14)"
"(21, 15)"
"(21, 16)"
"(21, 17)"
"(21, 18)"
"(21, 19)"
"(21, 20)"
"(21, 22)"
"(21, 23)"
"(21, 24)"
"(21, 25)"
"(22, 9)"
"(22, 10)"
"(22, 11)"
"(22, 12)"
"(22, 14)"
"(22, 15)"
"(22, 16)"
"(22, 17)"
"(22, 18)"
"(22, 19)"
"(22, 20)"
"(22, 21)"
"(23, 9)"
"(23, 21)"
"(24, 9)"
"(24, 21)"
"(26, 7)"
"(26, 9)"
"(27, 7)"
"(27, 9)"
"(28, 19)"
"(29, 19)"
"(30, 19)"
"(31, 19)"
"(32, 19)"
"(33, 19)"
"(34, 9)"
"(36, 9)"
"(36, 19)"
"(38, 7)"
"(38, 9)"
"(41, 10)"
"(41, 11)"
"(41, 12)"
"(41, 14)"
"(41, 15)"
"(41, 16)"
"(41, 17)"
"(41, 18)"
"(41, 22)"
"(41, 23)"
"(41, 24)"
"(41, 25)"
"(42, 9)"
"(42, 10)"
"(42, 11)"
"(42, 12)"
"(42, 14)"
"(42, 15)"
"(42, 16)"
"(42, 17)"
"(42, 18)"
"(42, 19)"
"(42, 20)"
"(42, 21)"
"(43, 9)"
"(43, 21)"
"(44, 9)"
"(44, 21)"
"(45, 9)"
"(45, 19)"
"(48, 2)"
"(48, 4)"
"(52, 7)"
"(52, 9)"
"(52, 19)"
"(52, 20)"
"(52, 21)"
"(53, 21)"
"(61, 21)"
"(62, 7)"
"(62, 9)"
"(62, 21)"
"(63, 7)"
"(63, 9)"
"(63, 21)"
